Position,Candidate ID,Candidate Name,Party,Votes
Barangay Kapitan,KPT001,Juan Dela Cruz,Team Bayanihan,0
Barangay Kapitan,KPT002,Maria Santos,Bagong Pag-asa,0
Barangay Kapitan,KPT003,Pedro Reyes,Kapwa Ko,0
Barangay Kagawad,KG001,Ana Lopez,Team Bayanihan,0
Barangay Kagawad,KG002,Jose Garcia,Bagong Pag-asa,0
Barangay Kagawad,KG003,Liza Cruz,Kapwa Ko,0
Barangay Kagawad,KG004,Mark Tan,Team Bayanihan,0
Barangay Kagawad,KG005,Carla Reyes,Bagong Pag-asa,0
Barangay Kagawad,KG006,Ramon dela Rosa,Kapwa Ko,0
Barangay Kagawad,KG007,Elsa Villanueva,Team Bayanihan,0
Barangay Kagawad,KG008,Miguel Aquino,Bagong Pag-asa,0
Barangay Kagawad,KG009,Grace Santos,Kapwa Ko,0
Barangay Kagawad,KG010,Ricardo Fernandez,Team Bayanihan,0
Barangay Kagawad,KG011,Angelica Mendoza,Bagong Pag-asa,0
Barangay Kagawad,KG012,Renato Velasco,Kapwa Ko,0
Barangay Kagawad,KG013,Joanne Dizon,Team Bayanihan,0
Barangay Kagawad,KG014,Carlo Bautista,Bagong Pag-asa,0
Barangay Kagawad,KG015,Mayumi Reyes,Kapwa Ko,0
Barangay Kagawad,KG016,Antonio Rivera,Team Bayanihan,0
Barangay Kagawad,KG017,Sheila Cruz,Bagong Pag-asa,0
Barangay Kagawad,KG018,Dante Lopez,Kapwa Ko,0
Barangay Kagawad,KG019,Veronica Tan,Team Bayanihan,0
Barangay Kagawad,KG020,Emilio Garcia,Bagong Pag-asa,0
Barangay Kagawad,KG021,Isabella Flores,Kapwa Ko,0
Barangay Kagawad,KG022,Victor Santos,Team Bayanihan,0
Barangay Kagawad,KG023,Regina Bautista,Bagong Pag-asa,0
Barangay Kagawad,KG024,Francis Dela Cruz,Kapwa Ko,0
SK Chairman,SKC001,Miguel Santos,Youth Power,0
SK Chairman,SKC002,Angela Reyes,Kabataan Bayan,0
SK Chairman,SKC003,Carlo Mendoza,Bagong Sigla,0
SK Kagawad,SKG001,Rica Tan,Youth Power,0
SK Kagawad,SKG002,John Paul Garcia,Kabataan Bayan,0
SK Kagawad,SKG003,May Bautista,Bagong Sigla,0
SK Kagawad,SKG004,Lena Santos,Youth Power,0
SK Kagawad,SKG005,Mark Rivera,Kabataan Bayan,0
SK Kagawad,SKG006,Camille Cruz,Bagong Sigla,0
SK Kagawad,SKG007,Joshua Lopez,Youth Power,0
SK Kagawad,SKG008,Erica Fernandez,Kabataan Bayan,0
SK Kagawad,SKG009,Paolo Mendoza,Bagong Sigla,0
SK Kagawad,SKG010,Angelica Dela Cruz,Youth Power,0
SK Kagawad,SKG011,Miguel Aquino,Kabataan Bayan,0
SK Kagawad,SKG012,Regina Santos,Bagong Sigla,0
SK Kagawad,SKG013,Dante Velasco,Youth Power,0
SK Kagawad,SKG014,Carla Reyes,Kabataan Bayan,0
SK Kagawad,SKG015,Veronica Tan,Bagong Sigla,0
SK Kagawad,SKG016,Antonio Rivera,Youth Power,0
SK Kagawad,SKG017,Isabella Flores,Kabataan Bayan,0
SK Kagawad,SKG018,Emilio Garcia,Bagong Sigla,0
SK Kagawad,SKG019,Mayumi Reyes,Youth Power,0
SK Kagawad,SKG020,Renato Velasco,Kabataan Bayan,0
SK Kagawad,SKG021,Angelica Mendoza,Bagong Sigla,0
SK Kagawad,SKG022,Carlo Bautista,Youth Power,0
SK Kagawad,SKG023,Joanne Dizon,Kabataan Bayan,0
SK Kagawad,SKG024,Ricardo Fernandez,Bagong Sigla,0
