text,label
salamat,positive
salamat po,positive
ang ganda,positive
ang galing,positive
nice,positive
cool,positive
nakakaaliw,positive
smooth,positive
perpekto,positive
magaling,positive
hindi ko gets,negative
ang hirap,negative
error,negative
bakit,negative
puta,negative
bwiset,negative
sira,negative
nakakainis,negative
tulong,negative
di ko mahanap,negative
sino ang kandidato,neutral
paano bumoto,neutral
pwede akong bumoto,neutral
requirements,neutral
saan boboto,neutral
listahan,neutral
paliwanag,neutral
sabihin mo,neutral
legit ba,neutral
trusted ba,neutral
